               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/player_mAP,metrics/player_mAP_50
                 121,            0.046492,           0.0084886,                   0,              0.6209,             0.64948,             0.63833,             0.31478,            0.043099,            0.008367,                   0,             0.00208,             0.00208,             0.00208,             0.31478,             0.63833
                 122,            0.047487,           0.0091287,                   0,             0.65336,             0.62887,             0.61631,             0.30881,            0.042507,           0.0084126,                   0,            0.002014,            0.002014,            0.002014,             0.30881,             0.61631
                 123,            0.044557,           0.0082283,                   0,             0.61567,             0.61106,             0.56519,             0.24834,            0.044959,           0.0086006,                   0,            0.001948,            0.001948,            0.001948,             0.24834,             0.56519
                 124,            0.044311,           0.0089763,                   0,             0.69616,             0.57732,             0.62004,             0.30584,            0.043036,            0.008267,                   0,            0.001882,            0.001882,            0.001882,             0.30584,             0.62004
                 125,            0.048332,           0.0091841,                   0,             0.63536,             0.61076,             0.61355,             0.30677,            0.042734,           0.0082035,                   0,            0.001816,            0.001816,            0.001816,             0.30677,             0.61355
                 126,            0.047534,           0.0087329,                   0,             0.59312,             0.64623,             0.61821,             0.30257,            0.042448,           0.0081474,                   0,             0.00175,             0.00175,             0.00175,             0.30257,             0.61821
                 127,            0.042649,           0.0081933,                   0,             0.59875,              0.5692,             0.60044,             0.30828,             0.04222,           0.0082912,                   0,            0.001684,            0.001684,            0.001684,             0.30828,             0.60044
                 128,            0.048055,            0.009044,                   0,              0.5741,             0.64948,             0.60346,             0.30788,            0.042533,           0.0082792,                   0,            0.001618,            0.001618,            0.001618,             0.30788,             0.60346
                 129,            0.043062,           0.0086405,                   0,              0.6527,             0.65979,             0.61964,             0.32577,            0.041437,           0.0080282,                   0,            0.001552,            0.001552,            0.001552,             0.32577,             0.61964
                 130,            0.046376,           0.0086974,                   0,             0.65419,             0.63918,             0.61966,             0.32948,            0.041958,           0.0080299,                   0,            0.001486,            0.001486,            0.001486,             0.32948,             0.61966
                 131,            0.046323,            0.008541,                   0,             0.60598,              0.6701,             0.61256,             0.34079,            0.041017,            0.008119,                   0,             0.00142,             0.00142,             0.00142,             0.34079,             0.61256
                 132,            0.045822,           0.0092829,                   0,             0.68144,             0.66161,             0.64351,             0.34329,            0.041047,           0.0080751,                   0,            0.001354,            0.001354,            0.001354,             0.34329,             0.64351
                 133,            0.044128,           0.0093637,                   0,             0.64035,             0.64948,             0.60215,             0.31665,             0.04137,           0.0081631,                   0,            0.001288,            0.001288,            0.001288,             0.31665,             0.60215
                 134,            0.044775,           0.0089541,                   0,             0.63167,             0.62887,             0.61949,             0.35077,            0.040858,           0.0080359,                   0,            0.001222,            0.001222,            0.001222,             0.35077,             0.61949
                 135,             0.04476,           0.0090893,                   0,             0.64577,             0.63901,             0.63652,             0.36926,            0.040616,           0.0078243,                   0,            0.001156,            0.001156,            0.001156,             0.36926,             0.63652
                 136,            0.044989,           0.0088574,                   0,             0.64312,             0.65979,              0.6397,             0.34863,            0.040626,            0.007869,                   0,             0.00109,             0.00109,             0.00109,             0.34863,              0.6397
                 137,            0.044467,           0.0091972,                   0,             0.67124,             0.65254,             0.66806,             0.37791,            0.039695,           0.0080317,                   0,            0.001024,            0.001024,            0.001024,             0.37791,             0.66806
                 138,            0.042283,           0.0079819,                   0,             0.70219,             0.68041,             0.66649,             0.36796,             0.03967,           0.0080606,                   0,            0.000958,            0.000958,            0.000958,             0.36796,             0.66649
                 139,            0.045476,           0.0097281,                   0,             0.66644,             0.68041,             0.66087,             0.36546,            0.039098,            0.008025,                   0,            0.000892,            0.000892,            0.000892,             0.36546,             0.66087
                 140,            0.044237,           0.0092508,                   0,             0.69583,             0.62887,             0.65597,             0.36689,             0.03898,           0.0082211,                   0,            0.000826,            0.000826,            0.000826,             0.36689,             0.65597
                 141,             0.04197,           0.0080593,                   0,              0.7181,             0.63028,             0.65649,             0.37191,            0.039114,            0.008107,                   0,             0.00076,             0.00076,             0.00076,             0.37191,             0.65649
                 142,            0.044564,           0.0084074,                   0,              0.6478,             0.66368,             0.66114,             0.37042,            0.039257,           0.0078266,                   0,            0.000694,            0.000694,            0.000694,             0.37042,             0.66114
                 143,            0.043134,           0.0076844,                   0,             0.71205,             0.63734,             0.66721,             0.38767,            0.038831,            0.007868,                   0,            0.000628,            0.000628,            0.000628,             0.38767,             0.66721
